time,Brazil_woody_savannas_crop_mask
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1
2018.9425,1
2019.0075,1
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1
2019.3975,1
2019.4625,1
2019.5275,1
2019.5925,1
2019.6575,1
2019.7225,1
2019.7875,1
2019.8525,1
2019.9175,1
2019.9825,1
2020.0475,1
2020.1125,1
2020.1775,1
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1
2020.5025,1
2020.5675,1
2020.6325,1
2020.6975,1
2020.7625,1
2020.8275,1
2020.8925,1
2020.9575,1
2021.0225,1
2021.0875,1
2021.1525,1
2021.2175,1
2021.2825,1
2021.3475,1
2021.4125,1
2021.4775,1
2021.5425,1
2021.6075,1
2021.6725,1
2021.7375,1
2021.8025,1
2021.8675,1
2021.9325,1
2021.9975,1
2022.0625,1
2022.1275,1
2022.1925,1
2022.2575,1
2022.3225,1
2022.3875,1
2022.4525,1
2022.5175,1
2022.5825,1
2022.6475,1
2022.7125,1.0290285909106
2022.7775,1.03099107039826
2022.8425,1.04131766491466
2022.9075,1.08076923103123
2022.9725,1.06560606066651
2023.0375,1.08084909371568
2023.1025,1.07122086493433
2023.1675,1.03575960596598
2023.2325,1.03418803418803
2023.2975,1.05084745762712
2023.3625,1.03636363636364
2023.4275,1
2023.4925,1
2023.5575,1
2023.6225,1
2023.6875,1
2023.7525,1
2023.8175,1
2023.8825,1
2023.9475,1.03408020052593
2024.0125,1.81659114960748
2024.0775,4.38907999064208
2024.1425,6.9853077901471
2024.2075,5.92324395848687
2024.2725,7.83483089435095
2024.3375,13.3333333333333
2024.4025,NA
2024.4675,NA
