time	diffusion_coefficient	number_of_branches
2015.01403646248	33.3967295687566	0.06
2015.06086334738	75.2451034660622	0.1
2015.10769023228	144.503375478877	0.1
2015.15451711718	213.766619229228	0.1
2015.20134400208	283.03479819683	0.1
2015.24817088698	313.725094073218	0.12
2015.29499777188	346.668520480582	0.14
2015.34182465678	427.631149878478	0.14
2015.38865154168	508.595534736093	0.14
2015.43547842658	589.561630710363	0.14
2015.48230531148	670.529393436404	0.14
2015.52913219638	876.716989175142	0.12
2015.57595908128	846.582250334413	0.14
2015.62278596618	736.465081670836	0.18
2015.66961285108	671.576060367713	0.22
2015.71643973598	643.908638220162	0.26
2015.76326662088	669.620315865964	0.28
2015.81009350578	551.901169152379	0.38
2015.85692039068	617.332638955001	0.38
2015.90374727558	622.121704048311	0.42
2015.95057416048	663.055925446843	0.42
2015.99740104538	740.02812365983	0.42
2016.04422793028	456.959324226254	0.46
2016.09105481518	476.975305398443	0.52
2016.13788170008	552.437154076449	0.52
2016.18470858498	627.902126493463	0.52
2016.23153546988	466.925554436352	0.62
2016.27836235478	520.999624779288	0.62
2016.32518923968	515.201471780335	0.74
2016.37201612458	557.546340385882	0.8
2016.41884300948	612.393216579028	0.84
2016.46566989438	649.07533860729	0.9
2016.51249677928	676.618562261031	0.98
2016.55932366418	708.436840142198	0.98
2016.60615054907	789.190512541538	0.98
2016.65297743397	860.461251803947	0.98
2016.69980431887	855.959733058546	0.98
2016.74663120377	944.29409014255	0.98
2016.79345808867	1024.37948421575	0.94
2016.84028497357	1121.28319988195	0.9
2016.88711185847	1109.03321025541	0.94
2016.93393874337	1094.75986515993	0.94
2016.98076562827	1154.00689377584	0.98
2017.02759251317	1224.12393312542	0.96
2017.07441939807	1201.55699740357	0.88
2017.12124628297	1267.80890198167	0.9
2017.16807316787	1314.95831965078	0.94
2017.21490005277	1413.12835961518	0.9
2017.26172693767	1286.54710361192	0.86
2017.30855382257	1030.23870263103	0.88
2017.35538070747	1147.81875120934	0.86
2017.40220759237	1272.62225831222	0.78
2017.44903447727	1346.44056489972	0.8
2017.49586136217	1199.06688308834	0.72
2017.54268824707	1317.33705626763	0.68
2017.58951513197	1398.26905487537	0.66
2017.63634201687	1371.54889647176	0.66
2017.68316890177	1308.79154350681	0.66
2017.72999578667	1426.61854074252	0.66
2017.77682267157	1524.23383535744	0.64
2017.82364955647	1635.39031377	0.66
2017.87047644137	1695.7830157427	0.7
2017.91730332627	1494.00613090076	0.62
2017.96413021117	1738.21839599101	0.58
2018.01095709607	1925.24177574085	0.54
2018.05778398097	2114.81193732762	0.52
2018.10461086587	2355.35635685717	0.5
2018.15143775077	2571.8589177854	0.48
2018.19826463567	2814.46705519917	0.44
2018.24509152057	3067.11462728235	0.38
2018.29191840547	3220.13104280866	0.26
2018.33874529037	2989.52928568903	0.24
